fiber_id,n_segments,touches_border,has_junction,length_px,length_um
1,1,1,0,19.142135623730955,19.142135623730955
2,1,1,0,2.0,2.0
3,1,1,0,3.0,3.0
4,1,0,0,2.414213562373095,2.414213562373095
5,1,0,0,23.656854249492383,23.656854249492383
6,1,0,0,2.0,2.0
7,1,0,0,24.313708498984763,24.313708498984763
8,1,0,0,23.798989873223338,23.798989873223338
9,1,0,1,56.55634918610403,56.55634918610403
10,1,0,0,19.48528137423857,19.48528137423857
11,2,0,1,97.56854249492378,97.56854249492378
12,1,0,0,22.72792206135786,22.72792206135786
13,1,0,0,130.22539674441612,130.22539674441612
14,3,0,1,52.769552621700484,52.769552621700484
15,1,0,0,2.0,2.0
16,1,0,1,6.82842712474619,6.82842712474619
17,1,0,0,58.112698372208065,58.112698372208065
18,4,0,1,73.79898987322332,73.79898987322332
19,1,0,0,3.0,3.0
20,1,0,1,26.242640687119287,26.242640687119287
21,2,0,1,67.97056274847714,67.97056274847714
22,1,0,1,13.485281374238571,13.485281374238571
23,1,0,0,2.0,2.0
24,2,0,1,78.59797974644665,78.59797974644665
25,1,0,1,2.414213562373095,2.414213562373095
26,1,0,0,44.72792206135786,44.72792206135786
27,1,0,0,13.485281374238571,13.485281374238571
28,2,0,1,131.01219330881975,131.01219330881975
29,1,0,1,69.01219330881972,69.01219330881972
30,1,0,0,2.414213562373095,2.414213562373095
31,1,0,0,6.414213562373095,6.414213562373095
32,1,0,0,45.59797974644665,45.59797974644665
33,1,0,0,9.899494936611667,9.899494936611667
34,1,0,0,6.65685424949238,6.65685424949238
35,2,0,1,47.87005768508882,47.87005768508882
36,1,0,1,36.97056274847714,36.97056274847714
37,1,0,0,2.414213562373095,2.414213562373095
38,1,1,0,2.414213562373095,2.414213562373095
39,2,0,1,22.142135623730955,22.142135623730955
40,1,0,1,7.242640687119285,7.242640687119285
41,2,0,1,40.24264068711929,40.24264068711929
42,1,0,0,2.8284271247461903,2.8284271247461903
43,1,0,0,39.55634918610404,39.55634918610404
44,1,0,0,6.242640687119286,6.242640687119286
45,2,0,1,8.414213562373096,8.414213562373096
46,1,0,0,12.242640687119287,12.242640687119287
47,1,0,1,4.0,4.0
48,1,0,0,40.41421356237309,40.41421356237309
49,1,0,0,17.242640687119287,17.242640687119287
50,1,0,0,34.28427124746191,34.28427124746191
51,1,0,0,30.071067811865476,30.071067811865476
52,1,0,0,57.242640687119284,57.242640687119284
53,1,0,0,32.65685424949238,32.65685424949238
54,1,0,1,3.414213562373095,3.414213562373095
55,2,0,1,57.597979746446676,57.597979746446676
56,4,0,1,38.31370849898476,38.31370849898476
57,3,0,1,44.31370849898476,44.31370849898476
58,1,0,1,8.65685424949238,8.65685424949238
59,1,0,1,42.69848480983499,42.69848480983499
60,2,0,1,19.14213562373095,19.14213562373095
61,1,0,1,13.485281374238571,13.485281374238571
62,1,0,0,29.242640687119287,29.242640687119287
63,1,0,1,18.55634918610405,18.55634918610405
64,1,0,1,66.45584412271569,66.45584412271569
65,2,0,1,54.42640687119287,54.42640687119287
66,1,0,0,65.87005768508878,65.87005768508878
67,2,0,1,68.94112549695427,68.94112549695427
68,1,0,0,12.656854249492381,12.656854249492381
69,1,1,0,83.87005768508878,83.87005768508878
70,1,0,0,44.01219330881975,44.01219330881975
71,1,0,1,3.414213562373095,3.414213562373095
72,1,0,0,16.82842712474619,16.82842712474619
73,1,0,1,9.242640687119284,9.242640687119284
74,1,0,1,15.828427124746192,15.828427124746192
75,2,0,1,17.65685424949238,17.65685424949238
76,2,0,1,14.242640687119286,14.242640687119286
77,2,0,1,112.41421356237309,112.41421356237309
